영화명,영화명(영어),제작연도,국적,유형,장르,제작상태,감독,제작사
대물발킨 며늘님,,2021,일본,장편,멜로/로맨스,개봉,,
다다미 부인의 다다익선,,2021,일본,장편,멜로/로맨스,개봉,,
넣고 빼고 분출하라,,2021,일본,장편,멜로/로맨스,개봉,,
흥건한 우리 형수! 메구리,,2020,일본,장편,드라마,개봉,,
회사 누나,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
외로운 누나,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
오르가즘! 절정의 아내,,2020,일본,장편,드라마,개봉,아사기리 키요시,
마카오썸씽,,2021,한국,장편,"성인물(에로),드라마",개봉,리차드 킴,(주)룬컴퍼니
귀토-토끼의 팔란,,2021,한국,장편,공연,개봉,고선웅,문화체육관광부 국립극장
진혼법사,,2017,중국,장편,액션,개봉,,
원티드 킬러,The Kid,2019,미국,장편,드라마,개봉,빈센트 도노프리오,
비밀의 정원,Way Back Home,2019,한국,장편,드라마,개봉,박선주,몬순픽쳐스
뫼비우스,Moebius,2020,한국,옴니버스,드라마,개봉,"김영,황형근,최영주,이소연",주식회사 씨엠닉스
동창회에 가는 목적 무삭제,,2021,한국,장편,"멜로/로맨스,드라마",개봉,조태호,(주)영화사가을
쾌락 통제 불능: 음수가 된 마누라,,2021,일본,장편,드라마,개봉,,
아바타의 후예1 : 쾌락의 행성,This Ain't Avatar XXX,2020,네덜란드,장편,멜로/로맨스,개봉,악셀 브라운,
나라의 섹시한 유혹,,2021,한국,장편,드라마,개봉,이로운,(주)영화사히트
젖 큰 그녀들의 경쟁섹스,,2021,한국,장편,멜로/로맨스,개봉,김모리,영화사 레드카펫
12시에 열리는 쾌락의 문,,2020,일본,장편,멜로/로맨스,개봉,,
살인의 늪,Marshland,2014,스페인,장편,스릴러,개봉,알베르토 로드리게즈,
타임 이즈 업,Time Is Up,2021,미국,장편,멜로/로맨스,개봉,엘리사 아모루소,
동백,Dongbaek,2020,한국,장편,"드라마,가족,전쟁",개봉,신준영,(주)해오름이앤티
카토 츠바키의 동정사냥,,2020,일본,장편,"멜로/로맨스,드라마",개봉,타로 타코야키,
옆방엄마,,2021,한국,장편,드라마,개봉,한동호,(주)코빈커뮤니케이션즈
여상사의 성교육,,2020,일본,장편,"멜로/로맨스,드라마",개봉,토미죠 타로,
모리사와 카나의 동정탈출,,2020,일본,장편,"멜로/로맨스,드라마",개봉,쿠도 타이요,
며느리의 벗방,,2020,일본,장편,"멜로/로맨스,드라마",개봉,사쿠라비토,
명탐정 코난: 비색의 탄환,Detective Conan: The Scarlet Bullet,2020,일본,장편,애니메이션,개봉,나가오카 치카,
귀문,GUIMOON: The Lightless Door,2021,한국,장편,"미스터리,스릴러,공포(호러)",개봉,심덕근,"(주)고스트픽처스,(주)주피터필름"
에이펙스,Apex,2021,캐나다,장편,"액션,스릴러",개봉,,
앰뷸런스,The Shift,2020,이탈리아,장편,스릴러,개봉,,
카토 츠바키의 동정여행,,2020,일본,장편,"멜로/로맨스,드라마",개봉,히로아키,
아케미 미우의 노브라 트레이닝,,2020,일본,장편,"멜로/로맨스,드라마",개봉,하만,
섹스돌:리얼 정사,,2020,일본,장편,"멜로/로맨스,드라마",개봉,쿠도 타이요,
새엄마의 계곡물,,2020,일본,장편,"멜로/로맨스,드라마",개봉,히로아키,
코스모볼,Cosmoball,2020,러시아,장편,SF,개봉,드자닉 파이지예브,
애프터 에브리씽,After Everything,2018,미국,장편,"멜로/로맨스,드라마",개봉,,
중독: 윗집 아가씨,,2021,한국,장편,성인물(에로),개봉,리윤,(주)담화
조개의 맛 무삭제,,2021,한국,장편,"멜로/로맨스,드라마",개봉,조태호,(주)영화사가을
수상한마사지샵-무삭제,,2020,한국,장편,멜로/로맨스,개봉,천성준,에이원 미디어
맛 : 엄마친구,,2021,한국,장편,"멜로/로맨스,드라마",개봉,신승엽,(주)영화사가을
노브라 코브라 : 나나미 절정을 보았다,,2021,일본,장편,드라마,개봉,아사기리 키요시,
구멍관계,,2021,한국,장편,"성인물(에로),멜로/로맨스",개봉,리차드 킴,(주)룬컴퍼니
글래디에이터: 레전드 워리어,Legionnaire's Trail,2020,미국,장편,액션,개봉,,
AS센터 대신맨,,2021,한국,장편,멜로/로맨스,개봉,"Mr.나,남욱재",(주)픽쳐레스크
엔칸토: 마법의 세계,Encanto,2021,미국,장편,애니메이션,개봉,"바이론 하워드,자레드 부시,채리스 카스트로 스미스",
언포기버블,The Unforgivable,2021,미국,장편,드라마,개봉,,
유부녀와 대물남,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
세 여자의 유혹,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
윤율의 VIP 미용실,,2021,한국,장편,멜로/로맨스,개봉,남욱재,(주)픽쳐레스크
젖고만 동창녀,Reunion with Ex-Classmates,2020,일본,장편,드라마,개봉,,
혼숙생활 무삭제,,2020,한국,장편,멜로/로맨스,개봉,윤경식,(주)가온콘텐츠
음욕 사촌동생 무삭제판,,2021,일본,장편,멜로/로맨스,개봉,테이 쟈가,
엄마의 연애 2 무삭제,,2020,한국,장편,멜로/로맨스,개봉,한대위,(주)영화사가을
새것 누구나 처음은 있었다 무삭제,,2020,한국,장편,멜로/로맨스,개봉,윤경식,(주)가온콘텐츠
사내 섹스 보고서 무삭제,,2020,한국,장편,멜로/로맨스,개봉,윤경식,(주)가온콘텐츠
맞고사는 남편 무삭제,,2020,한국,장편,멜로/로맨스,개봉,윤경식,(주)가온콘텐츠
마지막 처녀 무삭제,,2020,한국,장편,멜로/로맨스,개봉,윤경식,(주)가온콘텐츠
다른 맛 : 너무 다른 쌍둥이 형제 무삭제,,2020,한국,장편,멜로/로맨스,개봉,윤경식,(주)가온콘텐츠
넣어준 관리인 무삭제판,,2021,일본,장편,멜로/로맨스,개봉,나기라 겐조,
교회 여동생 무삭제,,2020,한국,장편,멜로/로맨스,개봉,윤경식,(주)가온콘텐츠
형수님의 하얀 속살 무삭제,,2020,한국,장편,"멜로/로맨스,드라마",개봉,김환,(주)영화사가을
파워 오브 도그,The Power of the Dog,2021,미국,장편,"드라마,멜로/로맨스",개봉,제인 캠피온,
타짜: 백마의 올인,,2021,한국,장편,성인물(에로),개봉,김동현,(주)담화
일장춘몽: 결혼 후에도 잊지 못한 섹스,,2021,일본,장편,드라마,개봉,비바 곤조,
이스케이프 슬립,200 Hours,2017,미국,장편,공포(호러),개봉,필립 구즈먼,
1984 최동원,"1984, CHOI Dong-won",2020,한국,장편,다큐멘터리,개봉,조은성,"(주)영화사진,엠앤씨에프"
그림자꽃,Shadow Flowers,2019,한국,장편,다큐멘터리,개봉,이승준,블루버드픽처스
완벽한 섹파,,2020,한국,장편,멜로/로맨스,개봉,김레이,P&미디어
섹스라이팅,,2021,한국,장편,성인물(에로),개봉,성이성,(주)담화
흑협: 무림영웅단,Through the Borobudur,2017,홍콩,장편,"액션,드라마",개봉,,
홍콩 리벤지,Hong Kong Rebels,2015,미국,장편,"범죄,드라마,스릴러",개봉,유리 L. 슈바르츠,
자매 돌려먹기 - 무삭제판,,2020,한국,장편,멜로/로맨스,개봉,김종석,컨텐츠레드
어쌔신 더 엑스,ASSASSIN X,2016,미국,장편,액션,개봉,아트 카마초,
승진섹스 - 무삭제판,,2020,한국,장편,멜로/로맨스,개봉,김종석,모히또필름
그녀의 사정,,2021,한국,장편,성인물(에로),개봉,성운아,(주)더비에스엔터테인먼트
주신: 제갈정운,Lord Fargo 2,2017,홍콩,장편,"판타지,액션,드라마",개봉,,
도굴: 귀취전설,Ghost Blows Out the Light 2,2020,중국,장편,"액션,판타지",개봉,조소구,
밀애 : 예쁜 며느리 무삭제,,2020,한국,장편,"멜로/로맨스,드라마",개봉,최찬호,(주)영화사가을
어느순간 내 입에 아!오이,,2021,일본,장편,드라마,개봉,아사기리 키요시,
매력적인 장모님 무삭제,,2020,한국,장편,멜로/로맨스,개봉,최찬호,(주)영화사가을
떡 편한 세상,,2021,한국,장편,성인물(에로),개봉,리윤,(주)담화
천지열혈 양가장,General Yangs,2017,홍콩,장편,"액션,드라마",개봉,,
F20,F20,2021,한국,장편,스릴러,개봉,홍은미,"KBS,몬스터유니온"
숏버스 섬뜩행,Short Bus: Bad Dream,2021,한국,옴니버스,"드라마,공포(호러)",개봉,"강다연,전민혁,김상규,임의준",(주)퍼니콘
당신은 학생인가,Learning Revolution,2020,한국,장편,다큐멘터리,개봉,백진우,주식회사 씨엠닉스
타짜,Tazza: The High Rollers,2006,한국,장편,드라마,개봉,최동훈,"(주)싸이더스,(주)영화사참"
그녀의 가족은 잘못이 없어,Her Family Has No Problem,2018,한국,장편,,개봉,김헌,이상우필름
후겟츠 웨슬리,Who Gets the Dog?,2016,미국,장편,"코미디,멜로/로맨스",개봉,헉 봇코,
어 굿 맨,A Good Man,2020,프랑스,장편,드라마,개봉,마리-캐스틸 멘션-솨아,
뱅드림! 필름 라이브 세컨드 스테이지,BanG Dream! FILM LIVE 2nd Stage,2020,일본,장편,"애니메이션,공연",개봉,우메츠 토모미,
밀리터리 맨,Tourist,2021,러시아,장편,"전쟁,액션",개봉,,
"나의 끝, 당신의 시작",Relativity,2019,독일,장편,"드라마,미스터리",개봉,,
순정 뺏긴 여직원,,2020,일본,장편,멜로/로맨스,개봉,아사기리 키요시,
세 여자의 교환섹스,,2020,일본,장편,"멜로/로맨스,드라마",개봉,쿠도 타이요,
발정난 형수와 두 남자,,2020,일본,장편,"멜로/로맨스,드라마",개봉,쿠도 타이요,
거유녀들의 아찔한 가슴골,,2020,일본,장편,"멜로/로맨스,드라마",개봉,타로 코아라,
나를 잡아줘,Hold Me Back,2020,일본,장편,"멜로/로맨스,코미디",개봉,오오쿠 아키코,
가족의 색깔,Our Departures,2018,일본,장편,드라마,개봉,요시다 야스히로,
스틸워터,Stillwater,2021,미국,장편,"범죄,드라마,스릴러",개봉,토마스 맥카시,
부니베어: 애들이 줄었어요,Boonie Bears : The Big Shrink ,2018,중국,장편,"애니메이션,어드벤처",개봉,정량,
사상,Sasang: The Town on Sand,2020,한국,장편,다큐멘터리,개봉,박배일,오지필름
노회찬6411,The Man with High Hopes,2021,한국,장편,다큐멘터리,개봉,민환기,"(주)명필름,시네마6411,평등하고 공정한나라 노회찬재단"
디어 에반 핸슨,Dear Evan Hansen,2021,미국,장편,"뮤지컬,드라마",개봉,스티븐 크보스키,
울림의 탄생,The Birth of Resonance,2020,한국,장편,다큐멘터리,개봉,이정준,스튜디오 홍시
괴짜들의 로맨스,I WeirDo,2020,대만,장편,"멜로/로맨스,드라마",개봉,,
욕정의 요조숙녀,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
옆집 누나:젖은 하루,,2020,일본,장편,"멜로/로맨스,드라마",개봉,사쿠라비토,
새엄마의 사정,,2020,일본,장편,"멜로/로맨스,드라마",개봉,사노 B사쿠,
젊은 새엄마:달아오른 하루,,2020,일본,장편,"멜로/로맨스,드라마",개봉,히로아키,
물 많은 후배:빼앗긴 남편,,2020,일본,장편,"멜로/로맨스,드라마",개봉,윌 친친,
거유녀와 나쁜놈들,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
애마부인,The Ae-Ma Woman,1982,한국,장편,"성인물(에로),멜로/로맨스,드라마",개봉,정인엽,연방영화(주) 
숏버스 기묘행,Short Bus: Mysterious Reality,2021,한국,옴니버스,"미스터리,드라마",개봉,"현명우,유정수,김지산,이용섭,전윤수,오현도",(주)퍼니콘
숏버스 감성행,Short Bus: Memory Trip,2021,한국,옴니버스,멜로/로맨스,개봉,"강인석,안다훈,박경진",(주)퍼니콘
숏버스 이별행,Short Bus: Say Goodbye,2021,한국,장편,"코미디,멜로/로맨스",개봉,"유현,김세희,김홍기,원은선",(주)퍼니콘
색다른 그녀,,2021,한국,장편,"멜로/로맨스,코미디",개봉,김진영,(주)박스미디어
보는 것을 사랑한다,,2021,한국,장편,다큐멘터리,개봉,윤기형,고양이구름 필름
젖스타그램,,2021,한국,장편,멜로/로맨스,개봉,김모리,영화사 레드카펫
옆집 아줌마,,2021,한국,장편,"멜로/로맨스,드라마",개봉,이영인,(주)영진크리에이티브
섹시한지현의뽀얀속살,,2021,한국,장편,멜로/로맨스,개봉,이희성,스마일컨텐츠
미호의 오피스 라이프,,2021,한국,장편,"멜로/로맨스,드라마",개봉,윤준세,(주)영진크리에이티브
뉴 오더,New Order,2020,기타,장편,스릴러,개봉,미셸 프랑코,
"틱, 틱... 붐!","tick, tick... BOOM!",2021,미국,장편,"드라마,뮤지컬",개봉,린-마누엘 미란다,
검은비: 악의연대기,,2017,한국,장편,액션,개봉,장유근,(주)에스와이미디어
케이지드,Caged,2021,미국,장편,"스릴러,드라마,공포(호러),범죄",개봉,아론 피옐맨,
"러브 어페어: 우리가 말하는 것, 우리가 하는 것","Love Affair: The Things We Say, The Things We Do",2020,프랑스,장편,"드라마,멜로/로맨스",개봉,엠마누엘 무레,
더 프레지던트,W.,2008,"미국,호주,홍콩,스위스,중국",장편,드라마,개봉,올리버 스톤,
흠뻑 젖은 새엄마,,2020,일본,장편,"멜로/로맨스,드라마",개봉,히로아키,
촉촉한 며느리,,2020,일본,장편,"멜로/로맨스,드라마",개봉,사쿠라비토,
이웃여자:맛 보여줄게,,2020,일본,장편,"멜로/로맨스,드라마",개봉,조니 시부야,
소원 들어주는 유부녀:한 번 합시다,,2020,일본,장편,"멜로/로맨스,드라마",개봉,토미죠 타로,
69번가육덕진가정교사-무삭제,,2021,한국,장편,성인물(에로),개봉,이희성,스마일컨텐츠
태양은 움직이지 않는다,The Sun Stands Still,2021,일본,장편,액션,개봉,하스미 에이이치로,
아담스 패밀리 2,The Addams Family 2,2021,미국,장편,"애니메이션,코미디,가족",개봉,"그렉 티어넌,콘래드 베논",
유부녀의 성욕,,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
"색녀, 내 동생의 여자",,2021,한국,장편,성인물(에로),개봉,강현성,(주)샤이커뮤니케이션즈
호빗: 스마우그의 폐허,The Hobbit: The Desolation of Smaug,2013,"미국,뉴질랜드",장편,"어드벤처,드라마,판타지",개봉,피터 잭슨,
수필러브,,2020,한국,장편,기타,개봉,홍두표,홍이필름
호빗: 다섯 군대 전투,The Hobbit: The Battle of the Five Armies,2014,"미국,뉴질랜드",장편,"어드벤처,판타지",개봉,피터 잭슨,
호빗: 뜻밖의 여정,The Hobbit: An Unexpected Journey,2012,"미국,뉴질랜드",장편,"어드벤처,판타지",개봉,피터 잭슨,
아네트,Annette,2021,프랑스,장편,"드라마,뮤지컬,멜로/로맨스",개봉,레오스 카락스,
당신얼굴 앞에서,IN FRONT OF YOUR FACE,2020,한국,장편,드라마,개봉,홍상수,(주)영화제작전원사 
매일 밤 흥건한 유부녀,,2020,일본,장편,드라마,개봉,아사기리 키요시,
끝내주는 명기 여상사,,2020,일본,장편,드라마,개봉,아사기리 키요시,
불륜은 역시 이웃과,,2020,일본,장편,멜로/로맨스,개봉,미시마 로쿠사부로,
바리케이드,Barricade,1997,한국,장편,드라마,개봉,윤인호,(주)제이콤
바람아 안개를 걷어가다오,Mom's Song,2020,한국,장편,드라마,개봉,신동민,(주)모쿠슈라
퍼스트 카우,First Cow,2019,미국,장편,"드라마,서부극(웨스턴)",개봉,켈리 레인하르트,
크림,Cream,2021,헝가리,장편,"멜로/로맨스,드라마,코미디",개봉,노라 라코스,
침묵의 숲,The Silent Forest,2020,기타,장편,드라마,개봉,,
시그널 X: 영혼의 구역,Demonic,2021,미국,장편,"미스터리,SF",개봉,닐 블롬캠프,
사대명포: 제국의 비밀,The Four - Dreamed of Evil Spirits,2018,중국,장편,"액션,미스터리",개봉,,
아낌없이 주는 거유 새엄마,,2020,일본,장편,"멜로/로맨스,드라마",개봉,사쿠라비토,
이터널스,Eternals,2021,미국,장편,"액션,어드벤처,드라마",개봉,클로이 자오,
